 26882   1 
 11056   1 0
  4930   1 00
  2419   1 000
  1193 110 0000
  1226   1 0001
   603 100 00010
   623   1 00011
   298   1 000110
   148 118 0001100
   150  47 0001101
   325   1 000111
   152   1 0001110
    71   1 00011100
    33   1 000111000
    15   1 0001110000
     7   1 00011100000
     3  81 000111000000
     4  53 000111000001
     8  54 00011100001
    18 113 0001110001
    38  41 000111001
    81   1 00011101
    39   1 000111010
    18   1 0001110100
     8   1 00011101000
     4   1 000111010000
     2  52 0001110100000
     2  75 0001110100001
     4   1 000111010001
     2   1 0001110100010
     1  91 00011101000100
     1  55 00011101000101
     2   1 0001110100011
     1 122 00011101000110
     1  33 00011101000111
    10  58 00011101001
    21   1 0001110101
    10  57 00011101010
    11  48 00011101011
    42 120 000111011
   173  46 0001111
  2511   1 001
  1246 115 0010
  1265  97 0011
  6126   1 01
  2974   1 010
  1465   1 0100
   706  99 01000
   759   1 01001
   371   1 010010
   181   1 0100100
    86  78 01001000
    95  83 01001001
   190   1 0100101
    95  79 01001010
    95   1 01001011
    47   1 010010110
    22   1 0100101100
    11  61 01001011000
    11  86 01001011001
    25  77 0100101101
    48  85 010010111
   388 109 010011
  1509 114 0101
  3152   1 011
  1563 111 0110
  1589 105 0111
 15826   1 1
  7322   1 10
  3509   1 100
  1689   1 1000
   817   1 10000
   402   1 100000
   200   1 1000000
    98   1 10000000
    49  67 100000000
    49  72 100000001
   102  82 10000001
   202  44 1000001
   415   1 100001
   206  76 1000010
   209   1 1000011
   102   1 10000110
    51  70 100001100
    51   1 100001101
    25   1 1000011010
    11   1 10000110100
     5   1 100001101000
     2   1 1000011010000
     1  37 10000110100000
     1  93 10000110100001
     3  35 1000011010001
     6   1 100001101001
     3  88 1000011010010
     3  56 1000011010011
    14  59 10000110101
    26  87 1000011011
   107   1 10000111
    53  68 100001110
    54  89 100001111
   872   1 10001
   421  98 100010
   451   1 100011
   220   1 1000110
   110  65 10001100
   110 107 10001101
   231   1 1000111
   112   1 10001110
    56  71 100011100
    56   1 100011101
    27  40 1000111010
    29   1 1000111011
    14   1 10001110110
     7  51 100011101100
     7  39 100011101101
    15 106 10001110111
   119   1 10001111
    59  80 100011110
    60  34 100011111
  1820   1 1001
   873 104 10010
   947   1 10011
   472 121 100110
   475 102 100111
  3813  32 101
  8504   1 11
  3940   1 110
  1841 116 1100
  2099   1 1101
  1048   1 11010
   523   1 110100
   256   1 1101000
   126   1 11010000
    62   1 110100000
    31  50 1101000000
    31  66 1101000001
    64   1 110100001
    31  45 1101000010
    33  49 1101000011
   130  73 11010001
   267  62 1101001
   525  13 110101
  1051   1 11011
   525  10 110110
   526 117 110111
  4564   1 111
  2242   1 1110
  1070   1 11100
   526 112 111000
   544   1 111001
   267  60 1110010
   277 119 1110011
  1172   1 11101
   571   1 111010
   278   1 1110100
   138  84 11101000
   140  69 11101001
   293 103 1110101
   601 108 111011
  2322 101 1111
